,Region,Year,Table A.1  Total identifiable expenditure on services,"Table A.2  Total UK identifiable expenditure on services, per head ",Table A.3  Real terms (1): Total identifiable expenditure on services,Table A.4  Real terms (1): Total UK identifiable expenditure on services per head (2),Table A.5  Identifiable expenditure on general public services,Table A.5a  Identifiable expenditure on general public services (of which: public and common services),Table A.5b  Identifiable expenditure on general public services (of which: international services),Table A.5c  Identifiable expenditure on general public services (of which: public sector debt interest),Table A.6  Identifiable expenditure on defence,Table A.7  Identifiable expenditure on public order and safety,Table A.8  Identifiable expenditure on economic affairs,Table A.8a  Identifiable expenditure on economic affairs (of which: enterprise and economic development),Table A.8b  Identifiable expenditure on economic affairs (of which: science and technology),Table A.8c  Identifiable expenditure on economic affairs (of which: employment policies),"Table A.8d  Identifiable expenditure on economic affairs (of which: agriculture, fisheries and forestry)","Table A.8e  Identifiable expenditure on economic affairs (of which: transport (1,2))",Table A.9  Identifiable expenditure on environment protection,Table A.10  Identifiable expenditure on housing and community amenities,Table A.11  Identifiable expenditure on health,"Table A.12  Identifiable expenditure on recreation, culture and religion",Table A.13  Identifiable expenditure on education,Table A.14  Identifiable expenditure on social protection,Table A.15  UK identifiable expenditure on services by function per head (1),"Table A.16  UK identifiable expenditure on services by function, per head indexed",Table A.17  Total local government identifiable expenditure on services,"Table A.18  Total local government identifiable expenditure on services, per head (1)",Table A.19  Total identifiable expenditure on services excluding local government (1)
14,Yorkshire and The Humber,2018,48865.0,8966.0,48865.0,8966.0,375.0,366.0,8.0,-,2,2368,3097.0,335,344.0,279,423,1717.0,664.0,882,11461,571.0,7411,22033,,,11725.0,2151.0,37140.0
15,East Midlands,2014,37032.0,8053.0,39379.0,8563.0,433.0,422.0,11.0,-,5,1597,2140.0,307,256.0,267,389,921.0,537.0,587,8120,411.0,5894,17307,,,8934.0,1943.0,28098.0
16,East Midlands,2015,38191.0,8236.0,40097.0,8646.0,398.0,391.0,7.0,-,4,1652,2209.0,314,296.0,197,372,1029.0,520.0,660,8533,426.0,5831,17958,,,8832.0,1904.0,29360.0
17,East Midlands,2016,38591.0,8250.0,40195.0,8593.0,378.0,371.0,7.0,-,4,1797,2286.0,373,268.0,166,294,1187.0,516.0,560,8781,414.0,5720,18136,,,8882.0,1899.0,29709.0
18,East Midlands,2017,39155.0,8286.0,39898.0,8443.0,421.0,413.0,8.0,-,4,1800,2340.0,457,309.0,162,381,1031.0,488.0,518,9066,383.0,5932,18203,,,8906.0,1885.0,30249.0
19,East Midlands,2018,40024.0,8388.0,40024.0,8388.0,440.0,432.0,7.0,-,4,1850,2625.0,553,352.0,189,365,1167.0,488.0,526,9138,411.0,6084,18458,,,8981.0,1882.0,31043.0
20,West Midlands,2014,48244.0,8501.0,51302.0,9040.0,439.0,425.0,14.0,-,4,2168,2637.0,441,272.0,393,322,1209.0,584.0,688,11305,565.0,7422,22431,,,12543.0,2210.0,35701.0
21,West Midlands,2015,50249.0,8795.0,52756.0,9234.0,499.0,490.0,8.0,-,3,2255,2780.0,443,303.0,288,290,1456.0,639.0,869,12025,520.0,7564,23095,,,12632.0,2211.0,37616.0
22,West Midlands,2016,50166.0,8717.0,52252.0,9079.0,421.0,412.0,8.0,-,3,2282,2880.0,220,291.0,238,244,1887.0,670.0,435,12252,500.0,7464,23260,,,11849.0,2059.0,38317.0
23,West Midlands,2017,51502.0,8863.0,52480.0,9031.0,515.0,505.0,10.0,-,4,2325,3275.0,493,329.0,265,310,1878.0,630.0,753,12628,488.0,7566,23318,,,12231.0,2105.0,39270.0
24,West Midlands,2018,52551.0,8967.0,52551.0,8967.0,529.0,520.0,9.0,-,3,2375,3808.0,441,386.0,302,265,2413.0,598.0,676,12662,491.0,7823,23587,,,11937.0,2037.0,40615.0
25,East,2014,46590.0,7828.0,49544.0,8324.0,519.0,504.0,14.0,-,6,1884,2943.0,305,457.0,263,501,1418.0,969.0,615,10321,502.0,7259,21573,,,11732.0,1971.0,34859.0
26,East,2015,48475.0,8056.0,50894.0,8458.0,657.0,648.0,9.0,-,6,1970,3015.0,369,468.0,180,479,1518.0,1026.0,672,10909,490.0,7557,22173,,,12191.0,2026.0,36284.0
27,East,2016,49641.0,8170.0,51704.0,8510.0,575.0,567.0,9.0,-,6,2097,3455.0,357,527.0,150,391,2030.0,1061.0,638,11303,471.0,7528,22507,,,11979.0,1972.0,37661.0
28,East,2017,49866.0,8136.0,50812.0,8290.0,572.0,562.0,10.0,-,6,2132,3498.0,464,452.0,150,446,1986.0,902.0,611,11348,469.0,7735,22593,,,12037.0,1964.0,37829.0
29,East,2018,51562.0,8359.0,51562.0,8359.0,588.0,579.0,10.0,-,5,2229,4210.0,609,500.0,163,458,2482.0,917.0,633,11897,492.0,7763,22828,,,12130.0,1966.0,39432.0
30,London,2014,83335.0,9900.0,88618.0,10528.0,799.0,779.0,20.0,-,7,5565,7425.0,746,604.0,521,69,5485.0,1080.0,1825,21453,1272.0,13144,30765,,,29427.0,3496.0,53908.0
31,London,2015,84430.0,9887.0,88643.0,10380.0,716.0,703.0,13.0,-,7,5754,7435.0,664,610.0,392,64,5704.0,1121.0,1786,21624,1388.0,13335,31266,,,29161.0,3415.0,55269.0
32,London,2016,87578.0,10105.0,91219.0,10525.0,705.0,692.0,12.0,-,6,5562,9585.0,920,706.0,344,77,7538.0,1126.0,2002,22528,1179.0,13173,31713,,,28927.0,3338.0,58650.0
33,London,2017,88475.0,10089.0,90155.0,10280.0,1028.0,1013.0,15.0,-,7,5361,9997.0,1053,536.0,345,71,7992.0,1075.0,2006,23137,1159.0,13220,31485,,,28556.0,3256.0,59919.0
34,London,2018,91585.0,10378.0,91585.0,10378.0,813.0,799.0,14.0,-,6,6081,11469.0,1421,592.0,372,90,8994.0,1116.0,2620,23518,1314.0,13118,31529,,,29274.0,3317.0,62311.0
35,South East,2014,67804.0,7711.0,72102.0,8200.0,798.0,777.0,21.0,-,9,2945,4100.0,539,601.0,310,469,2181.0,1131.0,843,15700,734.0,10589,30956,,,18057.0,2054.0,49747.0
36,South East,2015,69322.0,7812.0,72782.0,8202.0,843.0,830.0,13.0,-,9,2933,4037.0,535,620.0,218,452,2212.0,1242.0,924,16296,797.0,10578,31663,,,18094.0,2039.0,51228.0
37,South East,2016,71090.0,7944.0,74045.0,8274.0,724.0,711.0,13.0,-,7,2923,4894.0,750,706.0,186,341,2911.0,1199.0,869,16827,777.0,10742,32129,,,18112.0,2024.0,52978.0
38,South East,2017,73517.0,8141.0,74912.0,8296.0,1340.0,1325.0,15.0,-,8,2997,5624.0,1211,603.0,199,431,3180.0,1056.0,914,17201,811.0,11141,32425,,,19018.0,2106.0,54499.0
39,South East,2018,75365.0,8299.0,75365.0,8299.0,952.0,938.0,14.0,-,7,3139,6535.0,1842,679.0,225,431,3358.0,1279.0,1055,17554,806.0,11201,32839,,,19265.0,2122.0,56100.0
40,South West,2014,43931.0,8169.0,46715.0,8687.0,432.0,419.0,13.0,-,5,1846,2435.0,336,304.0,199,639,958.0,850.0,525,9866,440.0,6365,21166,,,10622.0,1975.0,33308.0
41,South West,2015,45256.0,8345.0,47514.0,8761.0,555.0,547.0,8.0,-,5,1881,2557.0,361,357.0,136,619,1083.0,982.0,475,10245,480.0,6268,21807,,,10834.0,1998.0,34421.0
42,South West,2016,45871.0,8383.0,47777.0,8732.0,451.0,443.0,8.0,-,3,1848,2785.0,400,335.0,114,493,1443.0,890.0,509,10576,426.0,6258,22124,,,10784.0,1971.0,35086.0
43,South West,2017,46846.0,8491.0,47736.0,8652.0,545.0,535.0,9.0,-,4,1747,3251.0,471,386.0,122,633,1640.0,849.0,526,10899,450.0,6377,22200,,,10618.0,1925.0,36228.0
44,South West,2018,47964.0,8628.0,47964.0,8628.0,526.0,518.0,9.0,-,3,1831,3503.0,744,436.0,122,591,1610.0,882.0,510,11132,507.0,6528,22541,,,10767.0,1937.0,37197.0
45,Total England,2014,461684.0,,,,,,,,,,,,,,,,,,,,,,,,127038.0,2358.0,334646.0
46,Total England,2015,473734.0,,,,,,,,,,,,,,,,,,,,,,,,127096.0,2340.0,346638.0
47,Total England,2016,483470.0,,,,,,,,,,,,,,,,,,,,,,,,125851.0,2297.0,357618.0
48,Total England,2017,491073.0,,,,,,,,,,,,,,,,,,,,,,,,126681.0,2292.0,364392.0
49,Total England,2018,505032.0,,,,,,,,,,,,,,,,,,,,,,,,128744.0,2315.0,376288.0
50,Scotland,2014,54063.0,10148.0,57490.0,10791.0,1109.0,1096.0,13.0,-,3,2388,5572.0,1006,380.0,340,953,2893.0,1293.0,1529,11459,1128.0,7558,22024,,,13818.0,2594.0,40245.0
51,Scotland,2015,54948.0,10275.0,57689.0,10788.0,1134.0,1126.0,8.0,-,3,2649,5354.0,980,406.0,266,923,2779.0,1270.0,1548,11592,1209.0,7613,22575,,,13804.0,2581.0,41144.0
52,Scotland,2016,56173.0,10455.0,58508.0,10889.0,1128.0,1120.0,8.0,-,4,2650,5566.0,943,479.0,229,819,3096.0,1256.0,1566,12131,1074.0,7838,22962,,,14083.0,2621.0,42090.0
53,Scotland,2017,57323.0,10606.0,58412.0,10808.0,1094.0,1085.0,9.0,-,4,2584,6165.0,1178,488.0,237,932,3330.0,1225.0,1584,12600,1053.0,8273,22743,,,14291.0,2644.0,43032.0
54,Scotland,2018,59028.0,10881.0,59028.0,10881.0,1087.0,1078.0,9.0,-,3,2696,6600.0,1255,556.0,258,913,3618.0,1266.0,1977,12767,997.0,8398,23235,,,14743.0,2718.0,44285.0
55,Wales,2014,30089.0,9762.0,31997.0,10380.0,506.0,499.0,7.0,-,4,1314,2398.0,537,155.0,197,485,1024.0,692.0,615,6161,523.0,4158,13718,,,8396.0,2724.0,21694.0
56,Wales,2015,30622.0,9904.0,32150.0,10398.0,527.0,522.0,5.0,-,4,1343,2344.0,546,192.0,158,444,1005.0,697.0,607,6442,516.0,3987,14155,,,8301.0,2685.0,22321.0
57,Wales,2016,30975.0,9995.0,32263.0,10410.0,492.0,487.0,4.0,-,3,1225,2441.0,453,213.0,136,430,1208.0,646.0,702,6591,494.0,4084,14297,,,8181.0,2640.0,22794.0
58,Wales,2017,31411.0,10090.0,32007.0,10281.0,510.0,505.0,5.0,-,2,1261,2398.0,428,195.0,133,463,1178.0,619.0,712,6950,477.0,4186,14297,,,8208.0,2636.0,23203.0
59,Wales,2018,32492.0,10397.0,32492.0,10397.0,528.0,523.0,5.0,-,3,1366,2642.0,505,225.0,134,497,1281.0,629.0,714,7218,542.0,4279,14571,,,8397.0,2687.0,24094.0
60,Northern Ireland,2014,19916.0,10885.0,21178.0,11575.0,417.0,413.0,4.0,-,-,1357,1646.0,311,58.0,176,577,524.0,258.0,776,3870,461.0,2617,8515,,,,,
61,Northern Ireland,2015,20337.0,11050.0,21352.0,11601.0,457.0,455.0,3.0,-,-,1271,1685.0,349,61.0,183,572,521.0,270.0,787,3910,471.0,2742,8742,,,,,
62,Northern Ireland,2016,20214.0,10917.0,21054.0,11371.0,392.0,389.0,3.0,-,-,1244,1557.0,400,91.0,151,487,429.0,264.0,711,4034,457.0,2707,8848,,,,,
63,Northern Ireland,2017,20504.0,11011.0,20894.0,11220.0,348.0,345.0,3.0,-,-,1219,1586.0,357,71.0,99,505,554.0,263.0,706,4176,466.0,2715,9026,,,,,
64,Northern Ireland,2018,20934.0,11190.0,20934.0,11190.0,366.0,363.0,3.0,-,-,1211,1587.0,377,76.0,81,498,555.0,264.0,737,4314,497.0,2701,9257,,,,,
65,UK identifiable expenditure,2014,565752.0,8825.0,601614.0,9385.0,6658.0,6504.0,154.0,-,54,27713,39398.0,5927,3932.0,3795,5306,20437.0,10852.0,9855,128854,7589.0,84680,250098,,,,,
66,UK identifiable expenditure,2015,579641.0,8973.0,608564.0,9421.0,6935.0,6840.0,95.0,-,49,28340,39313.0,5723,4219.0,2838,5068,21466.0,11366.0,10277,133561,7993.0,85054,256753,,,,,
67,UK identifiable expenditure,2016,590832.0,9074.0,615394.0,9452.0,6378.0,6285.0,93.0,-,46,28164,44580.0,6025,4573.0,2385,4380,27218.0,11261.0,9832,138217,7367.0,84914,260073,,,,,
68,UK identifiable expenditure,2017,600312.0,9144.0,611710.0,9318.0,7445.0,7337.0,109.0,-,54,28180,47187.0,7420,4228.0,2399,5155,27986.0,10693.0,10296,141827,7351.0,86746,260534,,,,,
69,UK identifiable expenditure,2018,617485.0,9350.0,617485.0,9350.0,6992.0,6889.0,103.0,-,44,29780,53253.0,8945,4752.0,2613,5068,31875.0,11672.0,11496,144860,7671.0,87907,263811,,,,,
70,Outside UK,2014,26655.0,,28345.0,,,,,,,,,,,,,,,,,,,,,,,,26655.0
71,Outside UK,2015,27019.0,,28367.0,,,,,,,,,,,,,,,,,,,,,,,,27019.0
72,Outside UK,2016,25705.0,,26773.0,,,,,,,,,,,,,,,,,,,,,,,,25705.0
73,Outside UK,2017,25320.0,,25801.0,,,,,,,,,,,,,,,,,,,,,,,,25320.0
74,Outside UK,2018,26589.0,,26589.0,,,,,,,,,,,,,,,,,,,,,,,,26589.0
75,Total identifiable expenditure,2014,592407.0,,629959.0,,15153.0,6809.0,8344.0,-,1417,27713,39801.0,5927,4185.0,3795,5378,20515.0,10861.0,9855,129389,7827.0,84680,254645,,,,,
76,Total identifiable expenditure,2015,606660.0,,636931.0,,16415.0,7140.0,9275.0,-,681,28340,39802.0,5723,4472.0,2838,5213,21557.0,11368.0,10277,134053,8215.0,85054,261538,,,,,
77,Total identifiable expenditure,2016,616536.0,,642167.0,,15603.0,6593.0,9010.0,-,375,28164,45025.0,6025,4817.0,2385,4489,27309.0,11261.0,9832,138499,7557.0,84914,264826,,,,,
78,Total identifiable expenditure,2017,625632.0,,637511.0,,17246.0,7632.0,9614.0,-,569,28180,47589.0,7420,4487.0,2399,5213,28070.0,10693.0,10296,142589,7581.0,86746,265341,,,,,
79,Total identifiable expenditure,2018,644075.0,,644075.0,,16778.0,7236.0,9542.0,-,750,29780,53825.0,8945,5063.0,2613,5192,32012.0,11676.0,11496,145812,7903.0,87907,268658,,,,,
80,Identifiable expenditure,2014,592407.0,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Identifiable expenditure,2015,606660.0,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Identifiable expenditure,2016,616536.0,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Identifiable expenditure,2017,625632.0,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Identifiable expenditure,2018,644075.0,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Non-identifiable expenditure(1),2014,83406.0,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Non-identifiable expenditure(1),2015,81095.0,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Non-identifiable expenditure(1),2016,85082.0,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Non-identifiable expenditure(1),2017,85945.0,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Non-identifiable expenditure(1),2018,91952.0,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Public sector expenditure on services,2014,675813.0,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Public sector expenditure on services,2015,687755.0,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Public sector expenditure on services,2016,701618.0,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Public sector expenditure on services,2017,711577.0,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Public sector expenditure on services,2018,736027.0,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Accounting adjustments,2014,58000.0,,61677.0,,,,,,,,,,,,,,,,,,,,,,19786.0,,38186.0
96,Accounting adjustments,2015,62690.0,,65818.0,,,,,,,,,,,,,,,,,,,,,,19797.0,,42851.0
97,Accounting adjustments,2016,55149.0,,57442.0,,,,,,,,,,,,,,,,,,,,,,21869.0,,33242.0
98,Accounting adjustments,2017,60384.0,,61530.0,,,,,,,,,,,,,,,,,,,,,,21994.0,,38338.0
99,Accounting adjustments,2018,57798.0,,57798.0,,,,,,,,,,,,,,,,,,,,,,19879.0,,37897.0
100,Total Managed Expenditure(2),2014,733813.0,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Total Managed Expenditure(2),2015,750445.0,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Total Managed Expenditure(2),2016,756767.0,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Total Managed Expenditure(2),2017,771961.0,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Total Managed Expenditure(2),2018,793825.0,,,,,,,,,,,,,,,,,,,,,,,,,,
105,(1) Includes the effect of financial sector interventions. See PESA 2018 Box 5.A for details.,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,(1) Includes the effect of financial sector interventions. See PESA 2018 Box 5.A for details.,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,(1) Includes the effect of financial sector interventions. See PESA 2018 Box 5.A for details.,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,(1) Includes the effect of financial sector interventions. See PESA 2018 Box 5.A for details.,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,(1) Includes the effect of financial sector interventions. See PESA 2018 Box 5.A for details.,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,(2) This excludes the temporary effects of banks being classified to the public sector. See PESA 2018 Box 5.A for details.,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,(2) This excludes the temporary effects of banks being classified to the public sector. See PESA 2018 Box 5.A for details.,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,(2) This excludes the temporary effects of banks being classified to the public sector. See PESA 2018 Box 5.A for details.,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,(2) This excludes the temporary effects of banks being classified to the public sector. See PESA 2018 Box 5.A for details.,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,(2) This excludes the temporary effects of banks being classified to the public sector. See PESA 2018 Box 5.A for details.,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
