,Region,Year,"Gross domestic product (GDP) chained volume measures (CVM) per head annual growth rates, percentage"
207,East Merseyside,2020,-12.7
208,East Merseyside,2021,12.5
209,East Merseyside,2022,-1.0
210,Liverpool,2017,2.2
211,Liverpool,2018,-0.4
212,Liverpool,2019,5.4
213,Liverpool,2020,-13.3
214,Liverpool,2021,14.9
215,Liverpool,2022,4.5
216,Sefton,2017,2.6
217,Sefton,2018,-0.2
218,Sefton,2019,-1.0
219,Sefton,2020,-10.4
220,Sefton,2021,13.3
221,Sefton,2022,2.3
222,Wirral,2017,2.9
223,Wirral,2018,0.2
224,Wirral,2019,2.5
225,Wirral,2020,-9.1
226,Wirral,2021,7.7
227,Wirral,2022,4.7
228,Yorkshire and The Humber,2017,2.5
229,Yorkshire and The Humber,2018,1.0
230,Yorkshire and The Humber,2019,0.5
231,Yorkshire and The Humber,2020,-10.8
232,Yorkshire and The Humber,2021,12.4
233,Yorkshire and The Humber,2022,2.8
234,East Yorkshire and Northern Lincolnshire,2017,1.8
235,East Yorkshire and Northern Lincolnshire,2018,1.6
236,East Yorkshire and Northern Lincolnshire,2019,1.4
237,East Yorkshire and Northern Lincolnshire,2020,-12.5
238,East Yorkshire and Northern Lincolnshire,2021,18.1
239,East Yorkshire and Northern Lincolnshire,2022,3.0
240,"Kingston upon Hull, City of",2017,1.7
241,"Kingston upon Hull, City of",2018,1.8
242,"Kingston upon Hull, City of",2019,-0.8
243,"Kingston upon Hull, City of",2020,-16.4
244,"Kingston upon Hull, City of",2021,19.9
245,"Kingston upon Hull, City of",2022,3.7
246,East Riding of Yorkshire,2017,2.7
247,East Riding of Yorkshire,2018,3.6
248,East Riding of Yorkshire,2019,2.0
249,East Riding of Yorkshire,2020,-10.2
250,East Riding of Yorkshire,2021,14.1
251,East Riding of Yorkshire,2022,3.1
252,North and North East Lincolnshire,2017,1.5
253,North and North East Lincolnshire,2018,0.2
254,North and North East Lincolnshire,2019,1.0
255,North and North East Lincolnshire,2020,-11.4
256,North and North East Lincolnshire,2021,24.5
257,North and North East Lincolnshire,2022,0.5
258,North Yorkshire,2017,3.6
259,North Yorkshire,2018,-0.9
260,North Yorkshire,2019,0.7
261,North Yorkshire,2020,-9.9
262,North Yorkshire,2021,12.1
263,North Yorkshire,2022,2.0
264,York,2017,3.9
265,York,2018,0.9
266,York,2019,-1.7
267,York,2020,-10.8
268,York,2021,12.0
269,York,2022,6.2
270,North Yorkshire CC,2017,4.1
271,North Yorkshire CC,2018,-1.3
272,North Yorkshire CC,2019,1.7
273,North Yorkshire CC,2020,-9.4
274,North Yorkshire CC,2021,11.2
275,North Yorkshire CC,2022,1.7
276,South Yorkshire,2017,2.6
277,South Yorkshire,2018,-0.8
278,South Yorkshire,2019,1.1
279,South Yorkshire,2020,-8.8
280,South Yorkshire,2021,9.3
281,South Yorkshire,2022,2.9
282,"Barnsley, Doncaster and Rotherham",2017,7.9
283,"Barnsley, Doncaster and Rotherham",2018,-0.8
284,"Barnsley, Doncaster and Rotherham",2019,0.0
285,"Barnsley, Doncaster and Rotherham",2020,-9.6
286,"Barnsley, Doncaster and Rotherham",2021,8.4
287,"Barnsley, Doncaster and Rotherham",2022,2.3
288,Sheffield,2017,0.6
289,Sheffield,2018,-0.6
290,Sheffield,2019,3.0
291,Sheffield,2020,-7.7
292,Sheffield,2021,11.1
293,Sheffield,2022,3.1
294,West Yorkshire,2017,2.3
295,West Yorkshire,2018,2.5
296,West Yorkshire,2019,-0.3
297,West Yorkshire,2020,-11.6
298,West Yorkshire,2021,11.8
299,West Yorkshire,2022,3.0
300,Bradford,2017,3.1
301,Bradford,2018,-0.9
302,Bradford,2019,-0.8
303,Bradford,2020,-9.9
304,Bradford,2021,10.4
305,Bradford,2022,3.7
306,Leeds,2017,1.0
307,Leeds,2018,3.8
308,Leeds,2019,0.4
309,Leeds,2020,-12.6
310,Leeds,2021,12.8
311,Leeds,2022,4.2
312,Calderdale and Kirklees,2017,4.9
313,Calderdale and Kirklees,2018,3.1
314,Calderdale and Kirklees,2019,-1.3
315,Calderdale and Kirklees,2020,-10.6
316,Calderdale and Kirklees,2021,12.3
317,Calderdale and Kirklees,2022,-1.5
318,Wakefield,2017,0.6
319,Wakefield,2018,2.6
320,Wakefield,2019,0.1
321,Wakefield,2020,-11.4
322,Wakefield,2021,9.8
323,Wakefield,2022,3.7
324,East Midlands,2017,0.7
325,East Midlands,2018,1.3
326,East Midlands,2019,0.4
327,East Midlands,2020,-9.9
328,East Midlands,2021,10.1
329,East Midlands,2022,0.7
330,Derbyshire and Nottinghamshire,2017,0.7
331,Derbyshire and Nottinghamshire,2018,1.4
332,Derbyshire and Nottinghamshire,2019,0.6
333,Derbyshire and Nottinghamshire,2020,-7.6
334,Derbyshire and Nottinghamshire,2021,7.9
335,Derbyshire and Nottinghamshire,2022,-0.9
336,Derby,2017,-1.1
337,Derby,2018,3.6
338,Derby,2019,2.1
339,Derby,2020,-2.5
340,Derby,2021,5.7
341,Derby,2022,-2.4
342,East Derbyshire,2017,0.9
343,East Derbyshire,2018,1.5
344,East Derbyshire,2019,-0.9
345,East Derbyshire,2020,-4.7
346,East Derbyshire,2021,9.2
347,East Derbyshire,2022,-1.1
348,South and West Derbyshire,2017,0.0
349,South and West Derbyshire,2018,1.4
350,South and West Derbyshire,2019,2.7
351,South and West Derbyshire,2020,-5.9
352,South and West Derbyshire,2021,5.9
353,South and West Derbyshire,2022,-4.6
354,Nottingham,2017,2.1
355,Nottingham,2018,-0.3
356,Nottingham,2019,-1.3
357,Nottingham,2020,-12.3
358,Nottingham,2021,9.4
359,Nottingham,2022,1.3
360,North Nottinghamshire,2017,0.2
361,North Nottinghamshire,2018,1.1
362,North Nottinghamshire,2019,1.5
363,North Nottinghamshire,2020,-8.4
364,North Nottinghamshire,2021,7.7
365,North Nottinghamshire,2022,-0.5
366,South Nottinghamshire,2017,0.7
367,South Nottinghamshire,2018,3.7
368,South Nottinghamshire,2019,0.2
369,South Nottinghamshire,2020,-8.0
370,South Nottinghamshire,2021,8.1
371,South Nottinghamshire,2022,3.6
372,"Leicestershire, Rutland and Northamptonshire",2017,-0.2
373,"Leicestershire, Rutland and Northamptonshire",2018,1.0
374,"Leicestershire, Rutland and Northamptonshire",2019,-0.5
375,"Leicestershire, Rutland and Northamptonshire",2020,-11.8
376,"Leicestershire, Rutland and Northamptonshire",2021,12.6
377,"Leicestershire, Rutland and Northamptonshire",2022,2.4
378,Leicester,2017,-1.8
379,Leicester,2018,0.9
380,Leicester,2019,1.0
381,Leicester,2020,-13.7
382,Leicester,2021,17.8
383,Leicester,2022,0.8
384,Leicestershire CC and Rutland,2017,-0.3
385,Leicestershire CC and Rutland,2018,0.4
386,Leicestershire CC and Rutland,2019,-1.6
387,Leicestershire CC and Rutland,2020,-11.9
388,Leicestershire CC and Rutland,2021,11.8
389,Leicestershire CC and Rutland,2022,3.6
390,West Northamptonshire,2017,2.0
391,West Northamptonshire,2018,1.9
392,West Northamptonshire,2019,-0.9
393,West Northamptonshire,2020,-11.3
394,West Northamptonshire,2021,11.7
395,West Northamptonshire,2022,2.3
396,North Northamptonshire,2017,-1.3
397,North Northamptonshire,2018,0.7
398,North Northamptonshire,2019,-0.3
399,North Northamptonshire,2020,-10.7
400,North Northamptonshire,2021,10.5
401,North Northamptonshire,2022,3.3
402,Lincolnshire,2017,3.6
403,Lincolnshire,2018,1.3
404,Lincolnshire,2019,2.2
405,Lincolnshire,2020,-11.4
406,Lincolnshire,2021,9.8
407,Lincolnshire,2022,0.7
408,Lincolnshire CC,2017,3.6
409,Lincolnshire CC,2018,1.6
410,Lincolnshire CC,2019,1.9
411,Lincolnshire CC,2020,-11.3
412,Lincolnshire CC,2021,9.6
413,Lincolnshire CC,2022,0.7
414,West Midlands,2017,2.5
415,West Midlands,2018,0.6
416,West Midlands,2019,-1.1
417,West Midlands,2020,-11.0
418,West Midlands,2021,10.2
419,West Midlands,2022,1.7
420,"Herefordshire, Worcestershire and Warwickshire",2017,6.1
421,"Herefordshire, Worcestershire and Warwickshire",2018,0.3
422,"Herefordshire, Worcestershire and Warwickshire",2019,-1.2
423,"Herefordshire, Worcestershire and Warwickshire",2020,-8.7
424,"Herefordshire, Worcestershire and Warwickshire",2021,4.2
425,"Herefordshire, Worcestershire and Warwickshire",2022,0.6
426,"Herefordshire, County of",2017,3.0
427,"Herefordshire, County of",2018,2.4
428,"Herefordshire, County of",2019,2.1
429,"Herefordshire, County of",2020,-10.9
430,"Herefordshire, County of",2021,6.8
431,"Herefordshire, County of",2022,0.6
432,Worcestershire CC,2017,5.2
433,Worcestershire CC,2018,1.1
434,Worcestershire CC,2019,0.0
435,Worcestershire CC,2020,-7.1
436,Worcestershire CC,2021,3.1
437,Worcestershire CC,2022,1.8
438,Warwickshire CC,2017,7.6
439,Warwickshire CC,2018,-1.1
440,Warwickshire CC,2019,-3.3
441,Warwickshire CC,2020,-9.7
442,Warwickshire CC,2021,4.0
443,Warwickshire CC,2022,-0.6
444,Shropshire and Staffordshire,2017,1.9
445,Shropshire and Staffordshire,2018,0.8
446,Shropshire and Staffordshire,2019,-0.4
447,Shropshire and Staffordshire,2020,-10.2
448,Shropshire and Staffordshire,2021,16.4
449,Shropshire and Staffordshire,2022,2.3
450,Telford and Wrekin,2017,1.6
451,Telford and Wrekin,2018,1.3
452,Telford and Wrekin,2019,0.9
453,Telford and Wrekin,2020,-4.0
454,Telford and Wrekin,2021,14.4
455,Telford and Wrekin,2022,4.1
456,Shropshire CC,2017,0.0
457,Shropshire CC,2018,1.0
458,Shropshire CC,2019,-2.5
459,Shropshire CC,2020,-11.6
460,Shropshire CC,2021,15.1
461,Shropshire CC,2022,3.9
462,Stoke-on-Trent,2017,4.8
463,Stoke-on-Trent,2018,5.5
464,Stoke-on-Trent,2019,0.4
465,Stoke-on-Trent,2020,-8.7
466,Stoke-on-Trent,2021,17.5
467,Stoke-on-Trent,2022,0.6
468,Staffordshire CC,2017,1.8
469,Staffordshire CC,2018,-0.8
470,Staffordshire CC,2019,-0.2
471,Staffordshire CC,2020,-11.3
472,Staffordshire CC,2021,17.0
473,Staffordshire CC,2022,1.4
474,West Midlands,2017,0.9
475,West Midlands,2018,0.6
476,West Midlands,2019,-1.4
477,West Midlands,2020,-12.8
478,West Midlands,2021,10.3
479,West Midlands,2022,2.0
480,Birmingham,2017,0.6
481,Birmingham,2018,1.9
482,Birmingham,2019,-0.6
483,Birmingham,2020,-12.9
484,Birmingham,2021,12.0
485,Birmingham,2022,4.0
486,Solihull,2017,6.9
487,Solihull,2018,0.6
488,Solihull,2019,-0.9
489,Solihull,2020,-14.8
490,Solihull,2021,4.4
491,Solihull,2022,2.0
492,Coventry,2017,-4.2
493,Coventry,2018,-0.9
494,Coventry,2019,-0.9
495,Coventry,2020,-14.6
496,Coventry,2021,7.6
497,Coventry,2022,0.0
498,Dudley,2017,1.5
499,Dudley,2018,-1.5
500,Dudley,2019,-0.8
501,Dudley,2020,-13.4
502,Dudley,2021,12.2
503,Dudley,2022,3.2
504,Sandwell,2017,1.2
505,Sandwell,2018,0.7
506,Sandwell,2019,-6.1
507,Sandwell,2020,-8.2
508,Sandwell,2021,4.5
509,Sandwell,2022,0.2
510,Walsall,2017,-1.2
511,Walsall,2018,-2.5
512,Walsall,2019,-3.9
513,Walsall,2020,-13.2
514,Walsall,2021,11.2
515,Walsall,2022,1.3
516,Wolverhampton,2017,3.9
517,Wolverhampton,2018,2.0
518,Wolverhampton,2019,-0.2
519,Wolverhampton,2020,-14.1
520,Wolverhampton,2021,12.8
521,Wolverhampton,2022,4.6
522,East,2017,4.3
523,East,2018,-0.6
524,East,2019,1.3
525,East,2020,-12.2
526,East,2021,9.6
527,East,2022,3.1
528,East Anglia,2017,3.0
529,East Anglia,2018,-0.9
530,East Anglia,2019,3.1
531,East Anglia,2020,-10.0
532,East Anglia,2021,7.8
533,East Anglia,2022,1.7
534,Peterborough,2017,7.7
535,Peterborough,2018,5.8
536,Peterborough,2019,-7.2
537,Peterborough,2020,-8.3
538,Peterborough,2021,9.2
539,Peterborough,2022,0.0
540,Cambridgeshire CC,2017,3.2
541,Cambridgeshire CC,2018,-1.2
542,Cambridgeshire CC,2019,4.0
543,Cambridgeshire CC,2020,-7.5
544,Cambridgeshire CC,2021,6.6
545,Cambridgeshire CC,2022,2.3
546,Suffolk CC,2017,1.8
547,Suffolk CC,2018,0.4
548,Suffolk CC,2019,3.2
549,Suffolk CC,2020,-10.8
550,Suffolk CC,2021,6.4
551,Suffolk CC,2022,1.0
552,Norwich and East Norfolk,2017,5.6
553,Norwich and East Norfolk,2018,-4.7
554,Norwich and East Norfolk,2019,8.8
555,Norwich and East Norfolk,2020,-12.6
556,Norwich and East Norfolk,2021,8.9
557,Norwich and East Norfolk,2022,4.2
558,North and West Norfolk,2017,-0.1
559,North and West Norfolk,2018,-1.0
560,North and West Norfolk,2019,1.5
561,North and West Norfolk,2020,-11.1
562,North and West Norfolk,2021,7.3
563,North and West Norfolk,2022,2.2
564,Breckland and South Norfolk,2017,0.4
565,Breckland and South Norfolk,2018,-3.4
566,Breckland and South Norfolk,2019,3.1
567,Breckland and South Norfolk,2020,-11.9
568,Breckland and South Norfolk,2021,10.2
569,Breckland and South Norfolk,2022,1.4
570,Bedfordshire and Hertfordshire,2017,5.5
571,Bedfordshire and Hertfordshire,2018,-0.3
572,Bedfordshire and Hertfordshire,2019,1.1
573,Bedfordshire and Hertfordshire,2020,-13.1
574,Bedfordshire and Hertfordshire,2021,9.1
575,Bedfordshire and Hertfordshire,2022,3.5
576,Luton,2017,4.8
577,Luton,2018,0.2
578,Luton,2019,0.7
579,Luton,2020,-35.8
580,Luton,2021,18.1
581,Luton,2022,18.7
582,Hertfordshire CC,2017,5.9
583,Hertfordshire CC,2018,0.1
584,Hertfordshire CC,2019,1.9
585,Hertfordshire CC,2020,-8.8
586,Hertfordshire CC,2021,8.5
587,Hertfordshire CC,2022,2.1
588,Bedford,2017,3.9
589,Bedford,2018,-2.0
590,Bedford,2019,2.3
591,Bedford,2020,-16.4
592,Bedford,2021,12.3
593,Bedford,2022,2.6
594,Central Bedfordshire,2017,5.2
595,Central Bedfordshire,2018,-2.1
596,Central Bedfordshire,2019,-3.5
597,Central Bedfordshire,2020,-14.6
598,Central Bedfordshire,2021,6.9
599,Central Bedfordshire,2022,-0.3
600,Essex,2017,4.8
601,Essex,2018,-0.4
602,Essex,2019,-0.9
603,Essex,2020,-14.2
604,Essex,2021,13.1
605,Essex,2022,4.5
606,Southend-on-Sea,2017,4.7
607,Southend-on-Sea,2018,0.1
608,Southend-on-Sea,2019,-4.4
609,Southend-on-Sea,2020,-19.7
610,Southend-on-Sea,2021,16.3
611,Southend-on-Sea,2022,4.7
612,Thurrock,2017,7.2
613,Thurrock,2018,0.1
614,Thurrock,2019,-1.3
615,Thurrock,2020,-13.1
616,Thurrock,2021,16.1
617,Thurrock,2022,11.7
618,Essex Haven Gateway,2017,6.5
619,Essex Haven Gateway,2018,-1.0
620,Essex Haven Gateway,2019,-2.3
621,Essex Haven Gateway,2020,-15.0
622,Essex Haven Gateway,2021,12.6
623,Essex Haven Gateway,2022,2.6
624,West Essex,2017,4.3
625,West Essex,2018,-1.2
626,West Essex,2019,-3.0
627,West Essex,2020,-18.5
628,West Essex,2021,12.4
629,West Essex,2022,4.1
630,Heart of Essex,2017,4.7
631,Heart of Essex,2018,0.4
632,Heart of Essex,2019,0.7
633,Heart of Essex,2020,-13.4
634,Heart of Essex,2021,11.9
635,Heart of Essex,2022,3.7
636,Essex Thames Gateway,2017,2.2
637,Essex Thames Gateway,2018,-0.1
638,Essex Thames Gateway,2019,2.6
639,Essex Thames Gateway,2020,-9.2
640,Essex Thames Gateway,2021,11.3
641,Essex Thames Gateway,2022,6.5
642,London,2017,1.5
643,London,2018,1.2
644,London,2019,0.8
645,London,2020,-12.8
646,London,2021,9.7
647,London,2022,4.2
648,Inner London - West,2017,2.9
649,Inner London - West,2018,3.1
650,Inner London - West,2019,2.0
651,Inner London - West,2020,-8.3
652,Inner London - West,2021,12.2
653,Inner London - West,2022,2.5
654,Camden and City of London,2017,3.6
655,Camden and City of London,2018,3.9
656,Camden and City of London,2019,2.4
657,Camden and City of London,2020,-4.0
658,Camden and City of London,2021,11.9
659,Camden and City of London,2022,-2.3
660,Westminster,2017,4.4
661,Westminster,2018,3.1
662,Westminster,2019,3.3
663,Westminster,2020,-10.8
664,Westminster,2021,12.0
665,Westminster,2022,6.5
666,Kensington & Chelsea and Hammersmith & Fulham,2017,2.0
667,Kensington & Chelsea and Hammersmith & Fulham,2018,5.0
668,Kensington & Chelsea and Hammersmith & Fulham,2019,0.4
669,Kensington & Chelsea and Hammersmith & Fulham,2020,-14.5
670,Kensington & Chelsea and Hammersmith & Fulham,2021,10.0
671,Kensington & Chelsea and Hammersmith & Fulham,2022,2.3
672,Wandsworth,2017,-3.1
673,Wandsworth,2018,-0.9
674,Wandsworth,2019,-2.2
675,Wandsworth,2020,-19.9
676,Wandsworth,2021,13.6
677,Wandsworth,2022,7.2
678,Inner London - East,2017,2.3
679,Inner London - East,2018,0.0
680,Inner London - East,2019,0.2
681,Inner London - East,2020,-12.2
682,Inner London - East,2021,9.1
683,Inner London - East,2022,4.7
684,Hackney and Newham,2017,4.8
685,Hackney and Newham,2018,3.8
686,Hackney and Newham,2019,8.1
687,Hackney and Newham,2020,-8.2
688,Hackney and Newham,2021,13.6
689,Hackney and Newham,2022,2.9
690,Tower Hamlets,2017,3.7
691,Tower Hamlets,2018,-6.7
692,Tower Hamlets,2019,-4.8
693,Tower Hamlets,2020,-11.0
694,Tower Hamlets,2021,-0.2
695,Tower Hamlets,2022,-5.4
696,Haringey and Islington,2017,1.0
697,Haringey and Islington,2018,4.2
698,Haringey and Islington,2019,1.1
699,Haringey and Islington,2020,-11.7
700,Haringey and Islington,2021,12.4
701,Haringey and Islington,2022,16.6
702,Lewisham and Southwark,2017,0.4
703,Lewisham and Southwark,2018,4.3
704,Lewisham and Southwark,2019,2.8
705,Lewisham and Southwark,2020,-13.6
706,Lewisham and Southwark,2021,7.8
707,Lewisham and Southwark,2022,2.3
708,Lambeth,2017,-0.3
709,Lambeth,2018,-1.2
710,Lambeth,2019,-3.7
711,Lambeth,2020,-21.4
712,Lambeth,2021,20.1
713,Lambeth,2022,17.4
714,Outer London - East and North East,2017,-1.0
715,Outer London - East and North East,2018,0.1
716,Outer London - East and North East,2019,0.8
717,Outer London - East and North East,2020,-16.5
718,Outer London - East and North East,2021,10.9
719,Outer London - East and North East,2022,5.2
720,Bexley and Greenwich,2017,-1.1
721,Bexley and Greenwich,2018,-0.9
722,Bexley and Greenwich,2019,2.3
723,Bexley and Greenwich,2020,-16.7
724,Bexley and Greenwich,2021,6.5
725,Bexley and Greenwich,2022,4.2
726,Barking & Dagenham and Havering,2017,-1.7
727,Barking & Dagenham and Havering,2018,-0.2
728,Barking & Dagenham and Havering,2019,-0.4
729,Barking & Dagenham and Havering,2020,-16.5
730,Barking & Dagenham and Havering,2021,14.4
731,Barking & Dagenham and Havering,2022,6.8
732,Redbridge and Waltham Forest,2017,0.1
733,Redbridge and Waltham Forest,2018,-0.5
734,Redbridge and Waltham Forest,2019,-0.3
735,Redbridge and Waltham Forest,2020,-18.3
736,Redbridge and Waltham Forest,2021,13.7
737,Redbridge and Waltham Forest,2022,8.0
738,Enfield,2017,-1.7
739,Enfield,2018,4.0
740,Enfield,2019,1.4
741,Enfield,2020,-14.0
742,Enfield,2021,9.1
743,Enfield,2022,2.1
744,Outer London - South,2017,0.4
745,Outer London - South,2018,0.6
746,Outer London - South,2019,0.4
747,Outer London - South,2020,-14.8
748,Outer London - South,2021,5.5
749,Outer London - South,2022,4.2
750,Bromley,2017,1.6
751,Bromley,2018,-0.8
752,Bromley,2019,-3.3
753,Bromley,2020,-15.5
754,Bromley,2021,3.7
755,Bromley,2022,3.7
756,Croydon,2017,1.7
757,Croydon,2018,5.6
758,Croydon,2019,3.4
759,Croydon,2020,-11.4
760,Croydon,2021,6.6
761,Croydon,2022,3.9
762,"Merton, Kingston upon Thames and Sutton",2017,-1.1
763,"Merton, Kingston upon Thames and Sutton",2018,-1.3
764,"Merton, Kingston upon Thames and Sutton",2019,0.4
765,"Merton, Kingston upon Thames and Sutton",2020,-16.9
766,"Merton, Kingston upon Thames and Sutton",2021,7.1
767,"Merton, Kingston upon Thames and Sutton",2022,3.9
768,Outer London - West and North West,2017,0.5
769,Outer London - West and North West,2018,-0.3
770,Outer London - West and North West,2019,-0.1
771,Outer London - West and North West,2020,-21.5
772,Outer London - West and North West,2021,6.0
