,Region,Year,Table A.15  UK identifiable expenditure on services by function per head (1)
155,"Table A.15  UK identifiable expenditure on services by function per head (1), 2017-18 to 2021-22 (continued)",0000,
156,"Table A.15  UK identifiable expenditure on services by function per head (1), 2017-18 to 2021-22 (continued)",0000,
157,"Table A.15  UK identifiable expenditure on services by function per head (1), 2017-18 to 2021-22 (continued)",0000,
158,"Table A.15  UK identifiable expenditure on services by function per head (1), 2017-18 to 2021-22 (continued)",0000,
159,"Table A.15  UK identifiable expenditure on services by function per head (1), 2017-18 to 2021-22 (continued)",0000,
160,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
161,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
162,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
163,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
164,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
165,2019-20,0000,
166,2019-20,0000,
167,2019-20,0000,
168,2019-20,0000,
169,2019-20,0000,
170,North East,0000,713
171,North East,0000,713
172,North East,0000,713
173,North East,0000,713
174,North East,0000,713
175,North West,0000,772
176,North West,0000,772
177,North West,0000,772
178,North West,0000,772
179,North West,0000,772
180,Yorkshire and The Humber,0000,691
181,Yorkshire and The Humber,0000,691
182,Yorkshire and The Humber,0000,691
183,Yorkshire and The Humber,0000,691
184,Yorkshire and The Humber,0000,691
185,East Midlands,0000,665
186,East Midlands,0000,665
187,East Midlands,0000,665
188,East Midlands,0000,665
189,East Midlands,0000,665
190,West Midlands,0000,921
191,West Midlands,0000,921
192,West Midlands,0000,921
193,West Midlands,0000,921
194,West Midlands,0000,921
195,East,0000,962
196,East,0000,962
197,East,0000,962
198,East,0000,962
199,East,0000,962
200,London,0000,1413
201,London,0000,1413
202,London,0000,1413
203,London,0000,1413
204,London,0000,1413
205,South East,0000,1032
206,South East,0000,1032
207,South East,0000,1032
208,South East,0000,1032
209,South East,0000,1032
210,South West,0000,763
211,South West,0000,763
212,South West,0000,763
213,South West,0000,763
214,South West,0000,763
215,England,0000,932
216,England,0000,932
217,England,0000,932
218,England,0000,932
219,England,0000,932
220,Scotland,0000,1252
221,Scotland,0000,1252
222,Scotland,0000,1252
223,Scotland,0000,1252
224,Scotland,0000,1252
225,Wales,0000,864
226,Wales,0000,864
227,Wales,0000,864
228,Wales,0000,864
229,Wales,0000,864
230,Northern Ireland,0000,1095
231,Northern Ireland,0000,1095
232,Northern Ireland,0000,1095
233,Northern Ireland,0000,1095
234,Northern Ireland,0000,1095
235,UK identifiable expenditure,0000,960
236,UK identifiable expenditure,0000,960
237,UK identifiable expenditure,0000,960
238,UK identifiable expenditure,0000,960
239,UK identifiable expenditure,0000,960
240,2020-21,0000,
241,2020-21,0000,
242,2020-21,0000,
243,2020-21,0000,
244,2020-21,0000,
245,North East,0000,2513
246,North East,0000,2513
247,North East,0000,2513
248,North East,0000,2513
249,North East,0000,2513
250,North West,0000,2754
251,North West,0000,2754
252,North West,0000,2754
253,North West,0000,2754
254,North West,0000,2754
255,Yorkshire and The Humber,0000,2629
256,Yorkshire and The Humber,0000,2629
257,Yorkshire and The Humber,0000,2629
258,Yorkshire and The Humber,0000,2629
259,Yorkshire and The Humber,0000,2629
260,East Midlands,0000,2582
261,East Midlands,0000,2582
262,East Midlands,0000,2582
263,East Midlands,0000,2582
264,East Midlands,0000,2582
265,West Midlands,0000,2821
266,West Midlands,0000,2821
267,West Midlands,0000,2821
268,West Midlands,0000,2821
269,West Midlands,0000,2821
270,East,0000,3135
271,East,0000,3135
272,East,0000,3135
273,East,0000,3135
274,East,0000,3135
275,London,0000,4323
276,London,0000,4323
277,London,0000,4323
278,London,0000,4323
279,London,0000,4323
280,South East,0000,3142
281,South East,0000,3142
282,South East,0000,3142
283,South East,0000,3142
284,South East,0000,3142
285,South West,0000,2842
286,South West,0000,2842
287,South West,0000,2842
288,South West,0000,2842
289,South West,0000,2842
290,England,0000,3087
291,England,0000,3087
292,England,0000,3087
293,England,0000,3087
294,England,0000,3087
295,Scotland,0000,3237
296,Scotland,0000,3237
297,Scotland,0000,3237
298,Scotland,0000,3237
299,Scotland,0000,3237
300,Wales,0000,2833
301,Wales,0000,2833
302,Wales,0000,2833
303,Wales,0000,2833
304,Wales,0000,2833
305,Northern Ireland,0000,2747
306,Northern Ireland,0000,2747
307,Northern Ireland,0000,2747
308,Northern Ireland,0000,2747
309,Northern Ireland,0000,2747
310,UK identifiable expenditure,0000,3078
311,UK identifiable expenditure,0000,3078
312,UK identifiable expenditure,0000,3078
313,UK identifiable expenditure,0000,3078
314,UK identifiable expenditure,0000,3078
315,"Table A.15  UK identifiable expenditure on services by function per head (1), 2017-18 to 2021-22 (continued)",0000,
316,"Table A.15  UK identifiable expenditure on services by function per head (1), 2017-18 to 2021-22 (continued)",0000,
317,"Table A.15  UK identifiable expenditure on services by function per head (1), 2017-18 to 2021-22 (continued)",0000,
318,"Table A.15  UK identifiable expenditure on services by function per head (1), 2017-18 to 2021-22 (continued)",0000,
319,"Table A.15  UK identifiable expenditure on services by function per head (1), 2017-18 to 2021-22 (continued)",0000,
320,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
321,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
322,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
323,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
324,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
325,2021-22,0000,
326,2021-22,0000,
327,2021-22,0000,
328,2021-22,0000,
329,2021-22,0000,
330,North East,0000,1113
331,North East,0000,1113
332,North East,0000,1113
333,North East,0000,1113
334,North East,0000,1113
335,North West,0000,1291
336,North West,0000,1291
337,North West,0000,1291
338,North West,0000,1291
339,North West,0000,1291
340,Yorkshire and The Humber,0000,1154
341,Yorkshire and The Humber,0000,1154
342,Yorkshire and The Humber,0000,1154
343,Yorkshire and The Humber,0000,1154
344,Yorkshire and The Humber,0000,1154
345,East Midlands,0000,1078
346,East Midlands,0000,1078
347,East Midlands,0000,1078
348,East Midlands,0000,1078
349,East Midlands,0000,1078
350,West Midlands,0000,1451
351,West Midlands,0000,1451
352,West Midlands,0000,1451
353,West Midlands,0000,1451
354,West Midlands,0000,1451
355,East,0000,1423
356,East,0000,1423
357,East,0000,1423
358,East,0000,1423
359,East,0000,1423
360,London,0000,2344
361,London,0000,2344
362,London,0000,2344
363,London,0000,2344
364,London,0000,2344
365,South East,0000,1442
366,South East,0000,1442
367,South East,0000,1442
368,South East,0000,1442
369,South East,0000,1442
370,South West,0000,1144
371,South West,0000,1144
372,South West,0000,1144
373,South West,0000,1144
374,South West,0000,1144
375,England,0000,1456
376,England,0000,1456
377,England,0000,1456
378,England,0000,1456
379,England,0000,1456
380,Scotland,0000,1922
381,Scotland,0000,1922
382,Scotland,0000,1922
383,Scotland,0000,1922
384,Scotland,0000,1922
385,Wales,0000,1265
386,Wales,0000,1265
387,Wales,0000,1265
388,Wales,0000,1265
389,Wales,0000,1265
390,Northern Ireland,0000,1555
391,Northern Ireland,0000,1555
392,Northern Ireland,0000,1555
393,Northern Ireland,0000,1555
394,Northern Ireland,0000,1555
395,UK identifiable expenditure,0000,1488
396,UK identifiable expenditure,0000,1488
397,UK identifiable expenditure,0000,1488
398,UK identifiable expenditure,0000,1488
399,UK identifiable expenditure,0000,1488
400,"(1) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",0000,
401,"(1) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",0000,
402,"(1) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",0000,
403,"(1) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",0000,
404,"(1) Per head figures in 2021-22 are calculated using the latest available population estimates for Scotland and Census figures for the rest of the UK. Earlier years are calculated using mid-year population estimates from the ONS. See Annex within the CRA 2022 release for further details including information on how population figures may have been affected by movements related to the pandemic, especially in London.",0000,
