,Region,Year,"Table A.16  UK identifiable expenditure on services by function, per head indexed"
155,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2017-18 to 2021-22 (continued)",0000,
156,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2017-18 to 2021-22 (continued)",0000,
157,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2017-18 to 2021-22 (continued)",0000,
158,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2017-18 to 2021-22 (continued)",0000,
159,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2017-18 to 2021-22 (continued)",0000,
160,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
161,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
162,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
163,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
164,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
165,2019-20,0000,
166,2019-20,0000,
167,2019-20,0000,
168,2019-20,0000,
169,2019-20,0000,
170,North East,0000,74
171,North East,0000,74
172,North East,0000,74
173,North East,0000,74
174,North East,0000,74
175,North West,0000,80
176,North West,0000,80
177,North West,0000,80
178,North West,0000,80
179,North West,0000,80
180,Yorkshire and The Humber,0000,72
181,Yorkshire and The Humber,0000,72
182,Yorkshire and The Humber,0000,72
183,Yorkshire and The Humber,0000,72
184,Yorkshire and The Humber,0000,72
185,East Midlands,0000,69
186,East Midlands,0000,69
187,East Midlands,0000,69
188,East Midlands,0000,69
189,East Midlands,0000,69
190,West Midlands,0000,96
191,West Midlands,0000,96
192,West Midlands,0000,96
193,West Midlands,0000,96
194,West Midlands,0000,96
195,East,0000,100
196,East,0000,100
197,East,0000,100
198,East,0000,100
199,East,0000,100
200,London,0000,147
201,London,0000,147
202,London,0000,147
203,London,0000,147
204,London,0000,147
205,South East,0000,108
206,South East,0000,108
207,South East,0000,108
208,South East,0000,108
209,South East,0000,108
210,South West,0000,79
211,South West,0000,79
212,South West,0000,79
213,South West,0000,79
214,South West,0000,79
215,England,0000,97
216,England,0000,97
217,England,0000,97
218,England,0000,97
219,England,0000,97
220,Scotland,0000,130
221,Scotland,0000,130
222,Scotland,0000,130
223,Scotland,0000,130
224,Scotland,0000,130
225,Wales,0000,90
226,Wales,0000,90
227,Wales,0000,90
228,Wales,0000,90
229,Wales,0000,90
230,Northern Ireland,0000,114
231,Northern Ireland,0000,114
232,Northern Ireland,0000,114
233,Northern Ireland,0000,114
234,Northern Ireland,0000,114
235,UK identifiable expenditure,0000,100
236,UK identifiable expenditure,0000,100
237,UK identifiable expenditure,0000,100
238,UK identifiable expenditure,0000,100
239,UK identifiable expenditure,0000,100
240,2020-21,0000,
241,2020-21,0000,
242,2020-21,0000,
243,2020-21,0000,
244,2020-21,0000,
245,North East,0000,82
246,North East,0000,82
247,North East,0000,82
248,North East,0000,82
249,North East,0000,82
250,North West,0000,89
251,North West,0000,89
252,North West,0000,89
253,North West,0000,89
254,North West,0000,89
255,Yorkshire and The Humber,0000,85
256,Yorkshire and The Humber,0000,85
257,Yorkshire and The Humber,0000,85
258,Yorkshire and The Humber,0000,85
259,Yorkshire and The Humber,0000,85
260,East Midlands,0000,84
261,East Midlands,0000,84
262,East Midlands,0000,84
263,East Midlands,0000,84
264,East Midlands,0000,84
265,West Midlands,0000,92
266,West Midlands,0000,92
267,West Midlands,0000,92
268,West Midlands,0000,92
269,West Midlands,0000,92
270,East,0000,102
271,East,0000,102
272,East,0000,102
273,East,0000,102
274,East,0000,102
275,London,0000,140
276,London,0000,140
277,London,0000,140
278,London,0000,140
279,London,0000,140
280,South East,0000,102
281,South East,0000,102
282,South East,0000,102
283,South East,0000,102
284,South East,0000,102
285,South West,0000,92
286,South West,0000,92
287,South West,0000,92
288,South West,0000,92
289,South West,0000,92
290,England,0000,100
291,England,0000,100
292,England,0000,100
293,England,0000,100
294,England,0000,100
295,Scotland,0000,105
296,Scotland,0000,105
297,Scotland,0000,105
298,Scotland,0000,105
299,Scotland,0000,105
300,Wales,0000,92
301,Wales,0000,92
302,Wales,0000,92
303,Wales,0000,92
304,Wales,0000,92
305,Northern Ireland,0000,89
306,Northern Ireland,0000,89
307,Northern Ireland,0000,89
308,Northern Ireland,0000,89
309,Northern Ireland,0000,89
310,UK identifiable expenditure,0000,100
311,UK identifiable expenditure,0000,100
312,UK identifiable expenditure,0000,100
313,UK identifiable expenditure,0000,100
314,UK identifiable expenditure,0000,100
315,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2017-18 to 2021-22 (continued)",0000,
316,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2017-18 to 2021-22 (continued)",0000,
317,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2017-18 to 2021-22 (continued)",0000,
318,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2017-18 to 2021-22 (continued)",0000,
319,"Table A.16  UK identifiable expenditure on services by function per head indexed, 2017-18 to 2021-22 (continued)",0000,
320,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
321,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
322,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
323,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
324,Data in this table from 2017-18 to 2021-22 are National Statistics,0000,
325,2021-22,0000,
326,2021-22,0000,
327,2021-22,0000,
328,2021-22,0000,
329,2021-22,0000,
330,North East,0000,75
331,North East,0000,75
332,North East,0000,75
333,North East,0000,75
334,North East,0000,75
335,North West,0000,87
336,North West,0000,87
337,North West,0000,87
338,North West,0000,87
339,North West,0000,87
340,Yorkshire and The Humber,0000,78
341,Yorkshire and The Humber,0000,78
342,Yorkshire and The Humber,0000,78
343,Yorkshire and The Humber,0000,78
344,Yorkshire and The Humber,0000,78
345,East Midlands,0000,72
346,East Midlands,0000,72
347,East Midlands,0000,72
348,East Midlands,0000,72
349,East Midlands,0000,72
350,West Midlands,0000,97
351,West Midlands,0000,97
352,West Midlands,0000,97
353,West Midlands,0000,97
354,West Midlands,0000,97
355,East,0000,96
356,East,0000,96
357,East,0000,96
358,East,0000,96
359,East,0000,96
360,London,0000,157
361,London,0000,157
362,London,0000,157
363,London,0000,157
364,London,0000,157
365,South East,0000,97
366,South East,0000,97
367,South East,0000,97
368,South East,0000,97
369,South East,0000,97
370,South West,0000,77
371,South West,0000,77
372,South West,0000,77
373,South West,0000,77
374,South West,0000,77
375,England,0000,98
376,England,0000,98
377,England,0000,98
378,England,0000,98
379,England,0000,98
380,Scotland,0000,129
381,Scotland,0000,129
382,Scotland,0000,129
383,Scotland,0000,129
384,Scotland,0000,129
385,Wales,0000,85
386,Wales,0000,85
387,Wales,0000,85
388,Wales,0000,85
389,Wales,0000,85
390,Northern Ireland,0000,104
391,Northern Ireland,0000,104
392,Northern Ireland,0000,104
393,Northern Ireland,0000,104
394,Northern Ireland,0000,104
395,UK identifiable expenditure,0000,100
396,UK identifiable expenditure,0000,100
397,UK identifiable expenditure,0000,100
398,UK identifiable expenditure,0000,100
399,UK identifiable expenditure,0000,100
